Coin Name,Current Price,200D EMA,Above EMA
Bitcoin,118141.02314253537,99917.26005976938,Yes
Ethereum,3789.42843561741,2653.7223632229307,Yes
XRP,3.1605408635689383,2.2968469750387928,Yes
BNB,837.2584853977141,653.9036924896003,Yes
Solana,187.57657030750133,163.49036532720672,Yes
USDC,0.9998052457863736,0.9998929122270616,No
Dogecoin,0.2330319493418541,0.20744194578537864,Yes
TRON,0.32326828322787476,0.25971560904111773,Yes
Cardano,0.8060169573514233,0.7032438293707719,Yes
Hyperliquid,44.45970599917151,28.717588163964088,Yes
Sui,4.103947150297401,3.147858835968647,Yes
Stellar,0.42716033633111483,0.29931544867214244,Yes
Chainlink,18.51966434384137,15.517929960692582,Yes
Bitcoin Cash,582.4290379033407,427.2036391235915,Yes
Hedera,0.27407487344864,0.19024532784128262,Yes
Avalanche,26.361625763367275,23.291014959174174,Yes
Litecoin,110.41592518641036,93.88478400612226,Yes
Toncoin,3.311431714815339,3.5832764017467142,No
Shiba Inu,1.368752038370652e-05,1.4444303162657944e-05,No
Ethena USDe,1.0005790030526271,1.0002305797490625,Yes
Uniswap,10.558966936265762,7.925806428527523,Yes
Polkadot,4.092295566413461,4.445669204804278,No
Monero,325.66127699139776,276.2417549508391,Yes
Dai,0.9994513831310226,0.9999254573609321,No
Bitget Token,4.627949104031173,4.419653731435379,Yes
Pepe,1.2362494740739995e-05,1.130713716111522e-05,Yes
Cronos,0.1399995283192026,0.10170504922536605,Yes
Aave,291.7383498572075,240.58971688926127,Yes
Bittensor,411.6200178461483,377.93519288847193,Yes
Ethena,0.6485763575683063,0.4107685934334796,Yes
NEAR Protocol,2.8383813629155625,3.030966657883515,No
Ethereum Classic,22.25563319424703,19.361697936452703,Yes
Ondo,1.0075224388458135,0.9482384618011145,Yes
Internet Computer,5.680539509739693,6.156503554770524,No
OKB,48.73016218414599,49.48857556935915,No
Mantle,0.8000517825034612,0.7520788683704906,Yes
Aptos,4.740176874213676,5.766912297473342,No
Kaspa,0.09994793069427042,0.09773937275290566,Yes
Bonk,3.549241293444774e-05,2.1074969819103194e-05,Yes
Pudgy Penguins,0.04155675137862106,0.017475268189012346,Yes
Algorand,0.27064355185180494,0.22576759709527855,Yes
Arbitrum,0.4482406609458084,0.4317055643608986,Yes
GateToken,17.985482032219213,18.073530864797085,No
VeChain,0.025284646753155265,0.027223322821415572,No
Render,4.19574652251657,4.365530482518773,No
Worldcoin,1.1566244642975894,1.2357338782673826,No
SPX6900,2.203791038395755,1.0072128796461715,Yes
OFFICIAL TRUMP,9.93684317259189,13.805512638555868,No
Sei,0.3303151214441479,0.27351351899351356,Yes
Cosmos,4.797003367322529,4.768342602034707,Yes
Sky,0.09295191442084551,0.07047996145129,Yes
Filecoin,2.6826927513932244,3.0379353991983082,No
Flare,0.02421580646120575,0.018717558613066277,Yes
Artificial Superintelligence Alliance,0.729252648253146,0.8073452073243135,No
Story,5.703871611584526,3.839928102184118,Yes
Jupiter,0.5785329294760827,0.5866207184999145,No
XDC Network,0.09155474726548614,0.07018752203907873,Yes
Quant,124.22288305557272,97.94322069123422,Yes
First Digital USD,0.9989157577034543,0.9987594384738385,Yes
KuCoin Token,11.452730854158434,11.12244958324492,Yes
Injective,15.211688331164838,13.675168850368852,Yes
Celestia,1.9680850587318273,2.8657529365839562,No
Four,3.372903466319582,2.6941649380480044,Yes
Optimism,0.78999524603086,0.8999233242533141,No
Stacks,0.8162764201896507,0.9247705503914411,No
Conflux,0.18412824871035197,0.1076437403095555,Yes
FLOKI,0.00012543221065634727,0.00010256395092011775,Yes
Fartcoin,1.325582576352656,0.9533703669949414,Yes
Immutable,0.5774971957891657,0.6964380704366419,No
Ethereum Name Service,29.153947618387832,22.323418413234034,Yes
The Graph,0.1065736167582024,0.11565396140647898,No
dogwifhat,1.0875759306321846,1.0546613079020184,Yes
PancakeSwap,2.99522063421772,2.2843096665945626,Yes
Kaia,0.16422012068099634,0.14526641306536298,Yes
PAX Gold,3319.6214851003674,3160.4553797430185,Yes
Lido DAO,1.0917855643922534,1.0414497224574446,Yes
PayPal USD,1.000307566336039,0.9997654828908411,Yes
Pump.fun,0.002718537148229634,0.00382303063288952,No
Virtuals Protocol,1.4980473429222712,1.4713749723379974,Yes
Tezos,0.87577203466487,0.7150958262302909,Yes
Sonic,0.32581220019166135,0.5072475945683492,No
Vaulta,0.5634654323875808,0.5806559622223915,No
Theta Network,0.8945076291537655,1.0023393790049124,No
Nexo,1.3163512066225924,1.2256834526027323,Yes
Tether Gold,3321.070013895212,3152.296251993448,Yes
Raydium,3.2265682630639967,2.8805959466980395,Yes
JasmyCoin,0.01685311839257485,0.017740117503570574,No
IOTA,0.20930811140246558,0.20132803527613335,Yes
Gala,0.01768795952883404,0.019300236413440613,No
The Sandbox,0.30719802386907663,0.3195721095696895,No
Pyth Network,0.133893895198261,0.17364096770077744,No
Pendle,4.403197801573067,3.801566968215146,Yes
Aerodrome Finance,0.8759040056310491,0.7766208902990875,Yes
BitTorrent [New],6.958943624699752e-07,7.484340792620162e-07,No
